Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
76,Tunisia,TUN,#REF!,38,6,2.17,28,42,34,42,,42,28,,,,38,41,38,42,,
76,Zambia,ZMB,#REF!,38,8,2.55,28,50,34,42,35,46,28,50,,,36,41,38,32,,
83,Benin,BEN,#REF!,37,5,4.43,25,47,30,44,47,25,32,47,,,,,,32,,
83,China,CHN,#REF!,37,8,2.34,28,49,33,41,,49,36,,39,,28,31,38,32,41,
83,Colombia,COL,#REF!,37,7,1.94,31,45,34,40,,36,45,,31,,33,41,38,32,,
83,Liberia,LBR,#REF!,37,7,4.22,14,45,30,44,35,44,45,45,,,14,41,,32,,
83,Sri Lanka,LKA,#REF!,37,7,2.09,28,44,34,40,35,44,28,,,,34,41,38,42,,
88,Albania,ALB,#REF!,36,7,3.58,18,49,30,42,,49,36,,,,18,41,38,32,,37
88,Algeria,DZA,#REF!,36,5,1.85,31,42,33,39,,34,36,,,,,31,38,42,,
88,Egypt,EGY,#REF!,36,6,2.47,31,47,32,40,,47,32,,,,35,31,38,32,,
88,Indonesia,IDN,#REF!,36,8,3.39,17,50,30,42,,43,36,,37,,17,50,38,32,32,
88,Morocco,MAR,#REF!,36,6,3.85,22,47,30,42,,47,28,,,,22,41,38,42,,
88,Peru,PER,#REF!,36,7,3.05,24,45,31,41,,44,45,,30,,24,31,38,42,,
88,Suriname,SUR,#REF!,36,3,3.21,31,42,31,41,,35,,,,,,31,,42,,
95,Armenia,ARM,#REF!,35,5,2.98,28,45,30,40,,45,28,,,,,31,,32,,37
95,Mali,MLI,#REF!,35,6,1.89,31,42,32,38,35,32,32,40,,,,31,,42,,
95,Philippines,PHL,#REF!,35,8,1.92,23,41,32,38,,36,36,,33,,23,41,38,32,37,
98,Bolivia,BOL,#REF!,34,7,3.58,20,47,28,40,47,25,36,,,,20,31,38,42,,
98,Djibouti,DJI,#REF!,34,3,9.07,23,52,19,49,23,,,27,,,,,,52,,
